est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
0.6727361469255672,0.34736527873649364,0.991918712150898,True,False,False,True,True,6934,38894,0.6
0.4435159886520096,0.06211428101786321,0.7610698436391118,True,False,False,True,True,6509,38290,0.6
0.4213488164359175,0.1440458060188632,0.6953367256743959,True,False,False,True,True,7146,38737,0.6
0.5860934622349262,0.2782948210854225,0.8738780313087041,True,False,False,True,True,6073,39117,0.6
0.46889239805241123,0.07651246989166693,0.7387521260227319,True,False,False,True,True,6689,38677,0.6
0.4766891595460393,0.06618077140825934,0.8126617379063612,True,False,False,True,True,6705,38209,0.6
0.880064412766179,0.5747056694876401,1.186270894515822,True,False,False,True,True,6406,37947,0.6
0.4213488164359175,-0.014220366108479982,0.7620374536086495,True,False,False,False,True,6637,36839,0.6
0.604600468278837,0.2565180712762985,0.9735503254346352,True,False,False,True,True,7210,39240,0.6
0.5908403418596436,0.28059187868081065,0.9243696549062959,True,False,False,True,True,7018,35700,0.6
0.5345670445706435,0.21509673230246665,0.864714366662816,True,False,False,True,True,6716,38905,0.6
0.5658062221082111,0.2274452113740863,0.9053307603143663,True,False,False,True,True,6903,38836,0.6
0.3860091560962503,0.020311683626662587,0.6361417153217293,True,False,False,True,True,6539,38728,0.6
0.6670757535489286,0.29492968446878515,1.0134931391623176,True,False,False,True,True,7216,39234,0.6
0.5620125129677239,0.19863932565232528,0.9764678490663771,True,False,False,True,True,6356,39618,0.6
0.6078089426550631,0.29747009525840196,0.991684409942138,True,False,False,True,True,7099,38297,0.6
0.542914583515896,0.20161061832992794,0.8352401588414544,True,False,False,True,True,6214,39445,0.6
0.5457269258886338,0.20189083817884645,0.8501773061782687,True,False,False,True,True,6669,37883,0.6
0.6556018096685928,0.34884770886161265,0.9268586186707861,True,False,False,True,True,6986,37453,0.6
0.5270123836379476,0.14117738904463273,0.8377165736659328,True,False,False,True,True,6409,39599,0.6
0.5939803556477602,0.32384149841110044,0.9510684505578739,True,False,False,True,True,6760,38740,0.6
0.5058138786312333,0.13560838735356018,0.8397679730283003,True,False,False,True,True,6750,39532,0.6
0.35747962028855274,0.0385328168593932,0.6621468506738016,True,False,False,True,True,7131,37384,0.6
0.4213488164359175,0.03479284264368859,0.7240322646603561,True,False,False,True,True,6740,38322,0.6
0.50828643869194,0.13774667441317556,0.8813232805217703,True,False,False,True,True,6720,38855,0.6
0.6364852597677823,0.4208790694990494,0.9167505827245065,True,False,False,True,True,7564,36514,0.6
0.5736949468442049,0.28203757230085197,0.919769310548931,True,False,False,True,True,7102,37739,0.6
0.60849466359224,0.23877504751295214,0.9518254376618341,True,False,False,True,True,6266,38402,0.6
0.5878204870389919,0.23542298032989603,0.9796936797180614,True,False,False,True,True,6892,38204,0.6
0.5259966960565848,0.20657259905369457,0.8472776299613066,True,False,False,True,True,6824,37206,0.6
0.5187745601089916,0.1827501664218159,0.8122008738553368,True,False,False,True,True,6681,38026,0.6
0.4396270105503358,0.04865591531053287,0.7529949949379017,True,False,False,True,True,5916,38753,0.6
0.5521425789003048,0.26416653941980756,0.8031252520824295,True,False,False,True,True,6768,37658,0.6
0.6894403972708013,0.34738690547860274,1.0343832543378175,True,False,False,True,True,7242,37404,0.6
0.4762034516525787,0.15241277441480683,0.8089961220710069,True,False,False,True,True,6568,38009,0.6
0.6802120691089758,0.36600266361220657,0.9930319170334452,True,False,False,True,True,7065,37673,0.6
0.8497453892633451,0.5518125028644344,1.183852768112961,True,False,False,True,True,6839,38259,0.6
0.5814928492823496,0.23802543238794438,0.8938703726386366,True,False,False,True,True,7115,37376,0.6
0.49066904650650833,0.09767301862251082,0.7833491339717477,True,False,False,True,True,6708,40000,0.6
0.483913988490125,0.06491031976463446,0.8031607462466696,True,False,False,True,True,7078,37865,0.6
0.5205551656422663,0.2386367684537799,0.8784807948915803,True,False,False,True,True,6275,39345,0.6
0.5695309393673459,0.23239216311782637,0.9414582126982364,True,False,False,True,True,6164,38472,0.6
0.4878529175221574,0.1510535489742343,0.7786673404949668,True,False,False,True,True,6588,38699,0.6
0.39957181295158184,0.06295873506757005,0.7410946058957681,True,False,False,True,True,5759,38761,0.6
