delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.6,0,sig_conso,0.6,0.6285463566852674,0.028546356685267393,0.5131091782108792,0.7773000479436972,0.264190869732818,True,True,True,True,True,True,
0.6,0,¬sig_conso,0.6,0.5803184061470401,-0.019681593852959867,0.4323102966366257,0.7056719766265922,0.2733616799899665,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_lead_in_lag,0.6,0.683163501840244,0.08316350184024401,0.5160429586399092,0.815007687010317,0.2989647283704078,True,True,True,True,True,True,
0.6,0,¬sig_lead_in_lag,0.6,0.49253066458715666,-0.10746933541284331,0.36301719177193836,0.667619971638942,0.3046027798670037,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_h1_dr,0.6,0.592045497103393,-0.00795450289660693,0.4175892761067297,0.7562405172620694,0.33865124115533973,True,True,True,False,True,False,MATERIALITY
0.6,0,¬sig_h1_dr,0.6,0.60463351847821,0.00463351847821003,0.4038944296413953,0.8100035382850479,0.40610910864365257,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_macro_vix_up,0.6,0.452936818398786,-0.14706318160121395,0.04905560480752606,1.016198379446331,0.9671427746388049,True,True,True,False,True,False,MATERIALITY
0.6,0,¬sig_macro_vix_up,0.6,0.7916021820407059,0.1916021820407059,0.37032649384526717,1.2084578133341655,0.8381313194888983,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_rs_intact+sig_conso,0.6,0.5933032702072429,-0.006696729792757039,0.45620728596574506,0.722989093668699,0.26678180770295395,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_rs_intact+sig_macro_vix_up,0.6,0.5833514025928628,-0.0166485974071372,0.15165796222458644,1.0044894953478025,0.8528315331232161,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_conso+sig_lead_in_lag,0.6,0.6539212918662808,0.05392129186628081,0.4652854972396693,0.7988259690700085,0.3335404718303392,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_conso+sig_h1_dr,0.6,0.5841565882876881,-0.01584341171231185,0.3977971118847329,0.7670531795059884,0.3692560676212555,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_conso+sig_macro_vix_up,0.6,0.3656274232566621,-0.2343725767433379,-0.0673774777660479,0.8204757441256123,0.8878532218916602,True,False,False,False,True,False,EVIDENCE
0.6,0,sig_lead_in_lag+sig_h1_dr,0.6,0.7510852676384441,0.1510852676384441,0.5046546020917013,0.900927027738128,0.39627242564642673,True,True,True,True,True,True,
0.6,0,sig_lead_in_lag+sig_macro_vix_up,0.6,0.5266443594199774,-0.07335564058002253,0.028167737754143034,0.9486527124909918,0.9204849747368488,True,True,True,False,True,False,MATERIALITY
0.6,0,sig_h1_dr+sig_macro_vix_up,0.6,0.5064503046392754,-0.09354969536072455,-0.015826337071164622,1.091020088771623,1.1068464258427877,True,False,False,False,True,False,EVIDENCE
0.6,0,sig_conso+sig_lead_in_lag+sig_h1_dr,0.6,0.7366908774589278,0.13669087745892783,0.42835430276912634,0.9164139570385369,0.48805965426941056,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi<35,0.6,0.613013193816042,0.013013193816042046,0.44331298484103987,0.7886015662603812,0.3452885814193414,True,True,True,False,True,False,MATERIALITY
