cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
sig_h1_dr,G3-Abs,20,181,11,126,0.35,0.03867403314917127
sig_h1_dr,G3-gap,1070,6050,262,997,0.07663551401869159,0.024793388429752067
sig_h1_dr,G3→G3,651,4676,237,971,0.10138248847926268,0.031009409751924722
sig_h1_dr,G3→G3→RL,82,313,31,119,0.4634146341463415,0.2715654952076677
sig_h1_dr,G3→L46 🕐,969,9683,369,1135,0.033023735810113516,0.028193741609005472
sig_h1_dr,HighBase-15mDip,2179,4900,641,974,0.01973382285452042,0.013265306122448979
sig_h1_dr,L34camp→REV,13,206,11,158,0.15384615384615385,0.02912621359223301
sig_h1_dr,L43-TRIPLE,122,812,52,299,0.09836065573770492,0.06280788177339902
sig_h1_dr,ND→SC→L46 🕐,2,146,2,83,0.5,0.1506849315068493
sig_h1_dr,NS→SC,3,316,2,183,0.6666666666666666,0.07278481012658228
sig_h1_dr,P55,1311,15245,492,1254,0.04958047292143402,0.006821908822564776
sig_h1_dr,Parabola,4202,45100,833,1274,0.012613041408852927,0.004523281596452328
sig_h1_dr,QZ-Capit,911,5846,422,1083,0.014270032930845226,0.016079370509750255
sig_h1_dr,QZ-Capit-Rev,3815,32468,800,1257,0.01363040629095675,0.010718245657262536
sig_h1_dr,RTB-Base,1484,18372,431,1249,0.04177897574123989,0.008763335510559547
